거래일,거래일시,결제유형,주문아이디,브랜드명,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,정산금액
,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,
2021-04-08,2021-04-08 10:36,CHECK,1HPTR0,,다이어트랩,PAY,"핸드드립 아메리카노, GO단백 닭가슴살 스테이크 KIT","16,000","13,000","16,000",0,0,"1,950",390,"6,000","1,000","5,000","2,727","3,000","4,677","3,663",366,"4,029","8,971"
2021-04-08,2021-04-08 10:55,BANK,1VNNR0,,다이어트랩,PAY,GO단백 닭가슴살 소시지 KIT,"15,200","9,200","15,200",0,0,"1,380",276,"6,000","1,000","5,000","2,727","3,000","4,107","3,549",355,"3,904","5,296"
2021-04-08,2021-04-08 11:03,CREDIT,2NKU00,,다이어트랩,PAY,(5KIT선택) Only DIET 다섯끼 식단 도시락,"35,500","35,500","35,500",0,0,"5,325","1,065","6,000","1,000","5,000",0,0,"5,325","7,065",707,"7,772","27,728"
2021-04-08,2021-04-08 11:43,CREDIT,19MM80,,다이어트랩,PAY,"연어 스테이크 KIT, 초코 프로틴 ICE","18,000","18,000","18,000",0,0,"2,700",540,"6,000","1,000","5,000",0,0,"2,700","6,540",654,"7,194","10,806"
2021-04-08,2021-04-08 11:52,CHECK,25S2R0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KIT,"10,000","7,000","10,000",0,0,"1,050",210,"6,000","1,000","5,000","2,727","3,000","3,777","3,483",348,"3,831","3,169"
2021-04-08,2021-04-08 11:53,BANK,1GHD00,,다이어트랩,PAY,(3KIT 선택) 하루세끼 다이어트 식단 도시락,"25,000","25,000","25,000",0,0,"3,750",750,"6,000","1,000","5,000",0,0,"3,750","6,750",675,"7,425","17,575"
2021-04-08,2021-04-08 12:39,CREDIT,0YH3R0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KIT,"12,000","9,000","12,000",0,0,"1,350",270,"6,000","1,000","5,000","2,727","3,000","4,077","3,543",354,"3,897","5,103"
2021-04-08,2021-04-08 12:44,CHECK,0X6ER0,,다이어트랩,PAY,(3KIT 선택) 하루세끼 다이어트 식단 도시락,"22,000","22,000","22,000",0,0,"3,300",660,"6,000","1,000","5,000",0,0,"3,300","6,660",666,"7,326","14,674"
2021-04-08,2021-04-08 12:51,CREDIT,0YH3R0,,다이어트랩,CANCEL,GO단백 닭가슴살 스테이크 KIT,"-12,000","-9,000","-12,000",0,0,"-1,350",-270,"-6,000","-1,000","-5,000","-2,727","-3,000","-4,077","-3,543",-354,"-3,897","-5,103"
2021-04-08,2021-04-08 18:40,CREDIT,190T80,,다이어트랩,PAY,(3키트 선택) 하루세끼 다이어트 식단 도시락,"21,500","21,500","18,500","3,000",0,"3,225",645,"6,000","1,000","5,000",0,0,"3,225","6,645",665,"7,310","14,190"
