거래일,거래일시,주문유형,결제유형,주문아이디,브랜드명,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
2021-07-01,2021-07-01 10:36,배달,CREDIT,00PV80,,다이어트랩,PAY,"연어 스테이크 KIT, 모듬 야채 100g, 브로콜리 50g","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112",0,0,0,"11,388"
2021-07-01,2021-07-01 10:56,배달,CREDIT,2U12G0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"25,900","22,900","25,900",0,0,"3,435",687,"6,000","1,000","5,000","2,727","3,000","6,162","3,960",396,"4,356",0,0,0,"18,544"
2021-07-01,2021-07-01 11:04,배달,CREDIT,1DLN80,,다이어트랩,PAY,"더블 단백질 1 (닭가슴살  닭가슴살 스테이크) KIT, 대추 토마토","21,000","18,000","21,000",0,0,"2,700",540,"6,000","1,000","5,000","2,727","3,000","5,427","3,813",381,"4,194",0,0,0,"13,806"
2021-07-01,2021-07-01 11:16,배달,CREDIT,04JX00,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), 핸드드립 아메리카노","29,800","23,800","29,800",0,0,"3,570",714,"6,000","1,000","5,000","2,727","3,000","6,297","3,987",398,"4,385",0,0,0,"19,415"
2021-07-01,2021-07-01 11:23,배달,BANK,0985G0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx2,"36,000","33,000","36,000",0,0,"4,950",990,"6,000","1,000","5,000","2,727","3,000","7,677","4,263",426,"4,689",0,0,0,"28,311"
2021-07-01,2021-07-01 11:34,배달,BANK,1XGE00,,다이어트랩,PAY,"벌크업 소고기 스테이크 KIT, 연어 스테이크 KIT","20,000","17,000","20,000",0,0,"2,550",510,"6,000","1,000","5,000","2,727","3,000","5,277","3,783",378,"4,161",0,0,0,"12,839"
2021-07-01,2021-07-01 12:53,배달,CHECK,00R0R0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx2,"18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
2021-07-01,2021-07-01 17:48,배달,BANK,0JH580,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, OP CHOCO (ICE) 초코 프로틴","24,500","21,500","24,500",0,0,"3,225",645,"6,000","1,000","5,000","2,727","3,000","5,952","3,918",392,"4,310",0,0,0,"17,190"
2021-07-01,2021-07-01 18:06,배달,CREDIT,0B4V80,,다이어트랩,PAY,"핸드드립 아메리카노, (3KIT 선택) 하루 세끼 다이어트 식단","35,700","32,700","35,700",0,0,"4,905",981,"6,000","1,000","5,000","2,727","3,000","7,632","4,254",425,"4,679",0,0,0,"28,021"
2021-07-01,2021-07-01 18:10,배달,CREDIT,2U0LR0,,다이어트랩,PAY,"GO단백 닭가슴살 소시지 KIT, 더블 단백질 2 (닭가슴살  닭가슴살 소시지) KIT","21,500","18,500","21,500",0,0,"2,775",555,"6,000","1,000","5,000","2,727","3,000","5,502","3,828",383,"4,211",0,0,0,"14,289"
2021-07-01,2021-07-01 18:22,배달,CREDIT,2V9K80,,다이어트랩,PAY,"GO단백 닭가슴살 KIT, 단호박 (120g), 미니양배추 50g","18,400","15,400","18,400",0,0,"2,310",462,"6,000","1,000","5,000","2,727","3,000","5,037","3,735",373,"4,108",0,0,0,"11,292"
