Purchase date,Purchase time,order type,purchase type,order ID,brand name,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
10/1/2021,10/1/2021 10:05,배달,CREDIT,191LG0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"29,400","23,400","29,400",0,0,"3,510",702,"6,000","1,000","5,000","2,727","3,000","6,237","3,975",397,"4,372",0,0,0,"19,028"
10/1/2021,10/1/2021 10:43,배달,MONEY,0XSY00,,다이어트랩,PAY,"연어 스테이크 KIT, 핸드드립 아메리카노","19,000","16,000","19,000",0,0,"2,400",480,"6,000","1,000","5,000","2,727","3,000","5,127","3,753",375,"4,128",0,0,0,"11,872"
10/1/2021,10/1/2021 11:28,배달,BANK,22YN00,,다이어트랩,PAY,"OP VANI'COF (ICE) 바닐라커피 프로틴, GO단백 닭가슴살 스테이크 KIT, 핸드드립 아메리카노","24,500","21,500","24,500",0,0,"3,225",645,"6,000","1,000","5,000","2,727","3,000","5,952","3,918",392,"4,310",0,0,0,"17,190"
10/1/2021,10/1/2021 12:05,배달,CHECK,11BNR0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, REAL VEGETARIAN KIT (채식)","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112",0,0,0,"11,388"
10/1/2021,10/1/2021 12:28,배달,CREDIT,22M4R0,,다이어트랩,PAY,"GO단백 닭가슴살 KIT, 브로콜리 50g, 대추 토마토","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112",0,0,0,"11,388"
10/1/2021,10/1/2021 12:35,배달,CREDIT,06N8G0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"27,900","24,900","27,900",0,0,"3,735",747,"6,000","1,000","5,000","2,727","3,000","6,462","4,020",402,"4,422",0,0,0,"20,478"
10/1/2021,10/1/2021 13:09,배달,CREDIT,1M7WR0,,다이어트랩,PAY,"OP CHO'COF (ICE) 초코커피 프로틴, GO단백 닭가슴살 KIT","22,000","19,000","22,000",0,0,"2,850",570,"6,000","1,000","5,000","2,727","3,000","5,577","3,843",384,"4,227",0,0,0,"14,773"
10/1/2021,10/1/2021 14:36,배달,CREDIT,23A080,,다이어트랩,PAY,더블 단백질 3 (소고기  닭가슴살) KIT,"27,000","21,000","27,000",0,0,"3,150",630,"6,000","1,000","5,000","2,727","3,000","5,877","3,903",390,"4,293",0,0,0,"16,707"
10/1/2021,10/1/2021 15:16,배달,CREDIT,0LAV00,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, OP CHOCO (ICE) 초코 프로틴","31,400","28,400","31,400",0,0,"4,260",852,"6,000","1,000","5,000","2,727","3,000","6,987","4,125",412,"4,537",0,0,0,"23,863"
10/1/2021,10/1/2021 17:46,배달,CREDIT,243UR0,,다이어트랩,PAY,연어 스테이크 KIT,"19,000","16,000","19,000",0,0,"2,400",480,"6,000","1,000","5,000","2,727","3,000","5,127","3,753",375,"4,128",0,0,0,"11,872"
10/1/2021,10/1/2021 19:52,배달,CREDIT,290S80,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"28,900","22,900","28,900",0,0,"3,435",687,"6,000","1,000","5,000","2,727","3,000","6,162","3,960",396,"4,356",0,0,0,"18,544"
10/1/2021,10/1/2021 21:31,배달,CREDIT,2DM180,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"35,800","29,800","35,800",0,0,"4,470",894,"6,000","1,000","5,000","2,727","3,000","7,197","4,167",416,"4,583",0,0,0,"25,217"
10/1/2021,10/1/2021 22:02,배달,BANK,1D4600,,다이어트랩,PAY,"핸드드립 아메리카노, 연어 스테이크 KIT","26,500","23,500","26,500",0,0,"3,525",705,"6,000","1,000","5,000","2,727","3,000","6,252","3,978",398,"4,376",0,0,0,"19,124"
10/2/2021,10/2/2021 11:37,배달,BANK,1NU1G0,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), GO단백 닭가슴살 스테이크 KIT","24,000","21,000","24,000",0,0,"3,150",630,"6,000","1,000","5,000","2,727","3,000","5,877","3,903",390,"4,293",0,0,0,"16,707"
10/2/2021,10/2/2021 13:07,배달,CREDIT,0MKN00,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 고구마 (180g)","18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
10/2/2021,10/2/2021 14:10,배달,CREDIT,1R3280,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"27,400","24,400","27,400",0,0,"3,660",732,"6,000","1,000","5,000","2,727","3,000","6,387","4,005",400,"4,405",0,0,0,"19,995"
10/2/2021,10/2/2021 15:18,배달,CREDIT,1V2DG0,,다이어트랩,PAY,"OP CHOCO (ICE) 초코 프로틴, GO단백 닭가슴살 소시지 KIT","22,000","19,000","22,000",0,0,"2,850",570,"6,000","1,000","5,000","2,727","3,000","5,577","3,843",384,"4,227",0,0,0,"14,773"
10/2/2021,10/2/2021 15:38,배달,CREDIT,0YHY80,,다이어트랩,PAY,"고구마 (180g), 알감자 (140g), REAL VEGETARIAN KIT (채식)","19,000","16,000","19,000",0,0,"2,400",480,"6,000","1,000","5,000","2,727","3,000","5,127","3,753",375,"4,128",0,0,0,"11,872"
10/2/2021,10/2/2021 16:27,배달,CREDIT,1S2Y80,,다이어트랩,PAY,벌크업 소고기 단백질 KITx2,"20,000","17,000","20,000",0,0,"2,550",510,"6,000","1,000","5,000","2,727","3,000","5,277","3,783",378,"4,161",0,0,0,"12,839"
10/2/2021,10/2/2021 18:50,배달,CREDIT,2XS780,,다이어트랩,PAY,"더블 단백질 1 (닭가슴살  닭가슴살 스테이크) KIT, 더블 단백질 3 (소고기  닭가슴살) KIT","20,000","17,000","20,000",0,0,"2,550",510,"6,000","1,000","5,000","2,727","3,000","5,277","3,783",378,"4,161",0,0,0,"12,839"
10/2/2021,10/2/2021 19:22,배달,CREDIT,1NLNG0,,다이어트랩,PAY,"단호박 (120g)x10, 대추 토마토x4","53,000","50,000","53,000",0,0,"7,500","1,500","6,000","1,000","5,000","2,727","3,000","10,227","4,773",477,"5,250",0,0,0,"44,750"
10/2/2021,10/2/2021 19:24,배달,BANK,12EHG0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx2,"18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
